[2025/12/01 01:57:50] Epoch[14/300], Step[51/173], lr:4.99e-04, PSNR:19.53, pixel_loss:0.1312, clip_loss:0.0000, total_loss:0.1312 [WARMUP]
[2025/12/01 01:58:05] Epoch[14/300], Step[101/173], lr:5.07e-04, PSNR:19.49, pixel_loss:0.1318, clip_loss:0.0000, total_loss:0.1318 [WARMUP]
[2025/12/01 01:58:16] Epoch[14/300], Step[151/173], lr:5.16e-04, PSNR:19.49, pixel_loss:0.1318, clip_loss:0.0000, total_loss:0.1318 [WARMUP]
[2025/12/01 01:58:21] Epoch[14/300], Step[173/173], lr:5.20e-04, PSNR:19.51, pixel_loss:0.1310, clip_loss:0.0000, total_loss:0.1310 [WARMUP]
[2025/12/01 02:00:00] Epoch[15/300], Step[1/173], lr:5.20e-04, PSNR:18.43, pixel_loss:0.1449, clip_loss:0.0000, total_loss:0.1449 [WARMUP]
[2025/12/01 02:00:11] Epoch[15/300], Step[51/173], lr:5.29e-04, PSNR:19.75, pixel_loss:0.1273, clip_loss:0.0000, total_loss:0.1273 [WARMUP]
[2025/12/01 02:00:24] Epoch[15/300], Step[101/173], lr:5.37e-04, PSNR:19.71, pixel_loss:0.1272, clip_loss:0.0000, total_loss:0.1272 [WARMUP]
[2025/12/01 02:00:34] Epoch[15/300], Step[151/173], lr:5.46e-04, PSNR:19.71, pixel_loss:0.1274, clip_loss:0.0000, total_loss:0.1274 [WARMUP]
[2025/12/01 02:00:40] Epoch[15/300], Step[173/173], lr:5.50e-04, PSNR:19.74, pixel_loss:0.1272, clip_loss:0.0000, total_loss:0.1272 [WARMUP]
[2025/12/01 02:02:17] Epoch[16/300], Step[1/173], lr:5.50e-04, PSNR:18.31, pixel_loss:0.1477, clip_loss:0.0000, total_loss:0.1477 [WARMUP]
[2025/12/01 02:02:34] Epoch[16/300], Step[51/173], lr:5.59e-04, PSNR:19.99, pixel_loss:0.1256, clip_loss:0.0000, total_loss:0.1256 [WARMUP]
[2025/12/01 02:02:49] Epoch[16/300], Step[101/173], lr:5.67e-04, PSNR:20.1, pixel_loss:0.1230, clip_loss:0.0000, total_loss:0.1230 [WARMUP]
[2025/12/01 02:02:59] Epoch[16/300], Step[151/173], lr:5.76e-04, PSNR:20.07, pixel_loss:0.1223, clip_loss:0.0000, total_loss:0.1223 [WARMUP]
[2025/12/01 02:03:03] Epoch[16/300], Step[173/173], lr:5.80e-04, PSNR:20.03, pixel_loss:0.1231, clip_loss:0.0000, total_loss:0.1231 [WARMUP]
[2025/12/01 02:04:41] Epoch[17/300], Step[1/173], lr:5.80e-04, PSNR:19.43, pixel_loss:0.1276, clip_loss:0.0000, total_loss:0.1276 [WARMUP]
[2025/12/01 02:04:57] Epoch[17/300], Step[51/173], lr:5.89e-04, PSNR:20.26, pixel_loss:0.1196, clip_loss:0.0000, total_loss:0.1196 [WARMUP]
[2025/12/01 02:05:10] Epoch[17/300], Step[101/173], lr:5.97e-04, PSNR:20.22, pixel_loss:0.1196, clip_loss:0.0000, total_loss:0.1196 [WARMUP]
[2025/12/01 02:05:19] Epoch[17/300], Step[151/173], lr:6.06e-04, PSNR:20.24, pixel_loss:0.1200, clip_loss:0.0000, total_loss:0.1200 [WARMUP]
[2025/12/01 02:05:25] Epoch[17/300], Step[173/173], lr:6.10e-04, PSNR:20.22, pixel_loss:0.1201, clip_loss:0.0000, total_loss:0.1201 [WARMUP]
[2025/12/01 02:06:57] Epoch[18/300], Step[1/173], lr:6.10e-04, PSNR:21.59, pixel_loss:0.0865, clip_loss:0.0000, total_loss:0.0865 [WARMUP]
[2025/12/01 02:07:15] Epoch[18/300], Step[51/173], lr:6.19e-04, PSNR:20.57, pixel_loss:0.1156, clip_loss:0.0000, total_loss:0.1156 [WARMUP]
[2025/12/01 02:07:29] Epoch[18/300], Step[101/173], lr:6.27e-04, PSNR:20.54, pixel_loss:0.1155, clip_loss:0.0000, total_loss:0.1155 [WARMUP]
[2025/12/01 02:07:40] Epoch[18/300], Step[151/173], lr:6.36e-04, PSNR:20.47, pixel_loss:0.1164, clip_loss:0.0000, total_loss:0.1164 [WARMUP]
[2025/12/01 02:07:46] Epoch[18/300], Step[173/173], lr:6.40e-04, PSNR:20.46, pixel_loss:0.1166, clip_loss:0.0000, total_loss:0.1166 [WARMUP]
[2025/12/01 02:09:12] Epoch[19/300], Step[1/173], lr:6.40e-04, PSNR:20.15, pixel_loss:0.1198, clip_loss:0.0000, total_loss:0.1198 [WARMUP]
[2025/12/01 02:09:25] Epoch[19/300], Step[51/173], lr:6.49e-04, PSNR:20.69, pixel_loss:0.1138, clip_loss:0.0000, total_loss:0.1138 [WARMUP]
[2025/12/01 02:09:38] Epoch[19/300], Step[101/173], lr:6.57e-04, PSNR:20.69, pixel_loss:0.1127, clip_loss:0.0000, total_loss:0.1127 [WARMUP]
[2025/12/01 02:09:48] Epoch[19/300], Step[151/173], lr:6.66e-04, PSNR:20.69, pixel_loss:0.1137, clip_loss:0.0000, total_loss:0.1137 [WARMUP]
[2025/12/01 02:09:51] Epoch[19/300], Step[173/173], lr:6.70e-04, PSNR:20.68, pixel_loss:0.1138, clip_loss:0.0000, total_loss:0.1138 [WARMUP]
[2025/12/01 02:11:21] Epoch[20/300], Step[1/173], lr:6.70e-04, PSNR:20.52, pixel_loss:0.1151, clip_loss:0.0000, total_loss:0.1151 [WARMUP]
[2025/12/01 02:11:36] Epoch[20/300], Step[51/173], lr:6.79e-04, PSNR:20.97, pixel_loss:0.1088, clip_loss:0.0000, total_loss:0.1088 [WARMUP]
[2025/12/01 02:11:49] Epoch[20/300], Step[101/173], lr:6.87e-04, PSNR:20.84, pixel_loss:0.1104, clip_loss:0.0000, total_loss:0.1104 [WARMUP]
[2025/12/01 02:12:00] Epoch[20/300], Step[151/173], lr:6.96e-04, PSNR:20.86, pixel_loss:0.1112, clip_loss:0.0000, total_loss:0.1112 [WARMUP]
[2025/12/01 02:12:05] Epoch[20/300], Step[173/173], lr:7.00e-04, PSNR:20.86, pixel_loss:0.1112, clip_loss:0.0000, total_loss:0.1112 [WARMUP]
Eval at epoch 20: Train_PSNR=21.05, Val_PSNR=0.00, Train_CLIP_sim=-0.0208, Val_CLIP_sim=0.0000
[2025/12/01 02:16:01] Epoch[21/300], Step[1/173], lr:7.00e-04, PSNR:20.75, pixel_loss:0.1141, clip_loss:0.0000, total_loss:0.1141 [WARMUP]
[2025/12/01 02:16:13] Epoch[21/300], Step[51/173], lr:7.09e-04, PSNR:20.95, pixel_loss:0.1095, clip_loss:0.0000, total_loss:0.1095 [WARMUP]
[2025/12/01 02:16:22] Epoch[21/300], Step[101/173], lr:7.17e-04, PSNR:20.97, pixel_loss:0.1098, clip_loss:0.0000, total_loss:0.1098 [WARMUP]
[2025/12/01 02:16:33] Epoch[21/300], Step[151/173], lr:7.26e-04, PSNR:21.02, pixel_loss:0.1092, clip_loss:0.0000, total_loss:0.1092 [WARMUP]
[2025/12/01 02:16:36] Epoch[21/300], Step[173/173], lr:7.30e-04, PSNR:21.04, pixel_loss:0.1086, clip_loss:0.0000, total_loss:0.1086 [WARMUP]
[2025/12/01 02:18:01] Epoch[22/300], Step[1/173], lr:7.30e-04, PSNR:20.44, pixel_loss:0.1104, clip_loss:0.0000, total_loss:0.1104 [WARMUP]
[2025/12/01 02:18:12] Epoch[22/300], Step[51/173], lr:7.39e-04, PSNR:21.07, pixel_loss:0.1096, clip_loss:0.0000, total_loss:0.1096 [WARMUP]
[2025/12/01 02:18:24] Epoch[22/300], Step[101/173], lr:7.47e-04, PSNR:21.16, pixel_loss:0.1074, clip_loss:0.0000, total_loss:0.1074 [WARMUP]
